timestamp,player,file
1418607396778,demarco murray,tweets.2014-12-15.01.json
1418608620457,dez bryant,tweets.2014-12-15.01.json
1418609918817,dez bryant,tweets.2014-12-15.01.json
1418610531857,chris polk,tweets.2014-12-15.01.json
1418614014826,chris polk,tweets.2014-12-15.01.json
1418614584563,darren sproles,tweets.2014-12-15.01.json
1418615124627,demarco murray,tweets.2014-12-15.01.json
1418615763277,dez bryant,tweets.2014-12-15.01.json
1420322307784,jonathan stewart,tweets.2015-01-03.21.json
1420323311546,darren fells,tweets.2015-01-03.21.json
1420325444064,marion grice,tweets.2015-01-03.21.json
1420328443799,fozzy whittaker,tweets.2015-01-03.21.json
1420336225464,bernard pierce,tweets.2015-01-04.00.json
1420341051666,torrey smith,tweets.2015-01-04.00.json
1420342472537,antonio brown,tweets.2015-01-04.00.json
1420342780503,martavis bryant,tweets.2015-01-04.00.json
1420343794738,crockett gillmore,tweets.2015-01-04.00.json
1420925929770,kamar aiken,tweets.2015-01-10.21.json
1420927164259,steve smith,tweets.2015-01-10.21.json
1420927826867,tom brady,tweets.2015-01-10.21.json
1420930017796,danny amendola,tweets.2015-01-10.21.json
1420931329205,owen daniels,tweets.2015-01-10.21.json
1420933189578,justin forsett,tweets.2015-01-10.21.json
1420933853390,rob gronkowski,tweets.2015-01-10.21.json
1420934675490,danny amendola,tweets.2015-01-10.21.json
1420941439960,doug baldwin,tweets.2015-01-11.00.json
1420942356604,kelvin benjamin,tweets.2015-01-11.00.json
1420942868721,jermaine kearse,tweets.2015-01-11.00.json
1420948391051,luke willson,tweets.2015-01-11.00.json
1420948923760,kam chancellor,tweets.2015-01-11.00.json
1420949535778,kelvin benjamin,tweets.2015-01-11.00.json
1421000075195,andrew quarless,tweets.2015-01-11.18.json
1421001163846,tyler clutts,tweets.2015-01-11.18.json
1421002527647,terrance williams,tweets.2015-01-11.18.json
1421614079309,randall cobb,tweets.2015-01-18.20.json
1421618825996,garry gilliam,tweets.2015-01-18.20.json
1421621824353,marshawn lynch,tweets.2015-01-18.20.json
1421622090788,russell wilson,tweets.2015-01-18.20.json
1421622554679,marshawn lynch,tweets.2015-01-18.20.json
1421623760853,jermaine kearse,tweets.2015-01-18.20.json
1421625677420,legarrette blount,tweets.2015-01-18.20.json
1421627195617,james develin,tweets.2015-01-18.20.json
1421629101030,zurlon tipton,tweets.2015-01-18.20.json
1421632134037,nate solder,tweets.2015-01-18.20.json
1421633258404,rob gronkowski,tweets.2015-01-18.20.json
1421633815193,legarrette blount,tweets.2015-01-18.20.json
1421634938146,legarrette blount,tweets.2015-01-19.02.json
