location	full-name	simple-name	abbrev
Arizona	Arizona Cardinals	Cardinals	ARI
Atlanta	Atlanta Falcons	Falcons	ATL
Baltimore	Baltimore Ravens	Ravens	BAL
Buffalo	Buffalo Bills	Bills	BUF
Carolina	Carolina Panthers	Panthers	CAR
Chicago	Chicago Bears	Bears	CHI
Cincinnati	Cincinnati Bengals	Bengals	CIN
Cleveland	Cleveland Browns	Browns	CLE
Dallas	Dallas Cowboys	Cowboys	DAL
Denver	Denver Broncos	Broncos	DEN
Detroit	Detroit Lions	Lions	DET
Green Bay	Green Bay Packers	Packers	GB
Houston	Houston Texans	Texans	HOU
Indianapolis	Indianapolis Colts	Colts	IND
Jacksonville	Jacksonville Jaguars	Jaguars	JAC
Kansas City	Kansas City Chiefs	Chiefs	KC
Miami	Miami Dolphins	Dolphins	MIA
Minnesota	Minnesota Vikings	Vikings	MIN
New England	New England Patriots	Patriots	NE
New Orleans	New Orleans Saints	Saints	NO
NY	NY Giants	Giants	NYG
NY	NY Jets	Jets	NYJ
Oakland	Oakland Raiders	Raiders	OAK
Philadelphia	Philadelphia Eagles	Eagles	PHI
Pittsburgh	Pittsburgh Steelers	Steelers	PIT
San Diego	San Diego Chargers	Chargers	SD
San Francisco	San Francisco 49ers	49ers	SF
Seattle	Seattle Seahawks	Seahawks	SEA
St. Louis	St. Louis Rams	Rams	STL
Tampa Bay	Tampa Bay Buccaneers	Buccaneers	TB
Tennessee	Tennessee Titans	Titans	TEN
Washington	Washington Redskins	Redskins	WAS
